PLOT,Accession,LOC,Year,REP,Block,Design,Trial,Settweight,NPH,Vigor,AUDPC_YMV,rAUDPC_YMV,AUDPC_YAD,rAUDPC_YAD,Yield per plot (kg),TTNPL,TTWPL,Yield_udj,YIELD,ATW,DMC,Oxint180Minutes,OXBI
2221,TDr1741013,Ibadan,2020,2,2,Partial replicated,TFE,,2,2,180,0.015,165,0.01375,0.63,1.00,0.32,0.70,3.15,0.32,26.47,1,-0.03
2222,TDr1741024,Ibadan,2020,2,2,Partial replicated,TFE,,,2,180,0.015,120,0.01,,,,,,,,,
2223,TDr1741051,Ibadan,2020,2,2,Partial replicated,TFE,,1,2,150,0.0125,105,0.00875,0.15,1.00,0.15,0.38,1.50,0.15,,,
2224,TDr1741056,Ibadan,2020,2,2,Partial replicated,TFE,,,2,150,0.0125,105,0.00875,,,,,,,,,
2225,TDr1741023,Ibadan,2020,2,2,Partial replicated,TFE,,,2,150,0.0125,105,0.00875,,,,,,,,,
2226,TDr1741035,Ibadan,2020,2,2,Partial replicated,TFE,,,1,180,0.015,,,,,,,,,,,
2227,TDr1741012,Ibadan,2020,2,2,Partial replicated,TFE,,,1,150,0.0125,,,,,,,,,,,
2228,TDr1741074,Ibadan,2020,2,2,Partial replicated,TFE,,,1,180,0.015,,,0.19,,,0.95,,0.10,,,
2229,TDr1741042,Ibadan,2020,2,2,Partial replicated,TFE,,1,2,180,0.015,165,0.01375,0.19,1.00,0.19,0.38,1.90,0.19,,,
2230,TDr1741070,Ibadan,2020,2,2,Partial replicated,TFE,,1,1,150,0.0125,105,0.00875,0.12,1.00,0.12,0.30,1.20,0.12,,,
2231,TDr1741088,Ibadan,2020,2,2,Partial replicated,TFE,,,2,150,0.0125,,,,,,,,,,,
2232,TDr1741020,Ibadan,2020,2,2,Partial replicated,TFE,,,1,180,0.015,135,0.01125,,,,,,,,,
2233,TDr1741001,Ibadan,2020,2,2,Partial replicated,TFE,,,1,150,0.0125,,,,,,,,,,,
2234,TDr1741044,Ibadan,2020,2,2,Partial replicated,TFE,,2,2,180,0.015,165,0.01375,0.08,1.00,0.04,0.20,0.40,0.04,,,
2235,TDr1741066,Ibadan,2020,2,2,Partial replicated,TFE,,,1,135,0.01125,,,,,,,,,,,
2236,TDr1741085,Ibadan,2020,2,2,Partial replicated,TFE,,5,2,150,0.0125,180,0.015,0.72,1.00,0.14,1.20,1.44,0.14,27.50,1,0.14
2237,TDr1741006,Ibadan,2020,2,2,Partial replicated,TFE,,3,2,150,0.0125,150,0.0125,0.64,0.67,0.21,1.28,2.13,0.32,,,
2238,TDr1741043,Ibadan,2020,2,2,Partial replicated,TFE,,2,2,180,0.015,,,,,,,,,,,
